"","url","observation"
"30","http://www.sossa-international.org/forum/content.php?380-27th-February-2010-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"31","http://www.sossa-international.org/forum/content.php?379-23rd-January-2010-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"32","http://www.sossa-international.org/forum/content.php?173-28th-August-2010-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"33","http://www.sossa-international.org/forum/content.php?408-Saturday-19-December-2009-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"34","http://www.sossa-international.org/forum/content.php?407-Saturday-28-November-2009-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"35","http://www.sossa-international.org/forum/content.php?406-Saturday-24-October-2009-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"36","http://www.sossa-international.org/forum/content.php?405-Saturday-28-November-2008-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"37","http://www.sossa-international.org/forum/content.php?404-Saturday-25-October-2008-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"38","http://www.sossa-international.org/forum/content.php?403-Saturday-28-June-2008-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"39","http://www.sossa-international.org/forum/content.php?402-Saturday-26-April-2008-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"40","http://www.sossa-international.org/forum/content.php?401-Saturday-27-January-2007-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"41","http://www.sossa-international.org/forum/content.php?225-24th-November-2007-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"42","http://www.sossa-international.org/forum/content.php?224-28th-October-2007-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"43","http://www.sossa-international.org/forum/content.php?214-23rd-June-2007-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"44","http://www.sossa-international.org/forum/content.php?211-29th-to-31st-March-2007-SOSSA-Inaugural-100-Nautical-Mile-Pelagic&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"45","http://www.sossa-international.org/forum/content.php?400-Saturday-23-September-2006-Species-list-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA.&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"46","http://www.sossa-international.org/forum/content.php?399-Species-list&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"47","http://www.sossa-international.org/forum/content.php?275-22nd-November-2004-WIRES-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"48","http://www.sossa-international.org/forum/content.php?268-26th-June-2004-SOSSA-PELAGIC-TRIP-WOLLONGONG-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"49","http://www.sossa-international.org/forum/content.php?303-8th-July-2002-SOSSA-PELAGIC-TRIP-KILLER-WHALES-WOLLONGONG-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
"50","http://www.sossa-international.org/forum/content.php?326-28th-March-1999-WOLLONGONG-PELAGIC-TRIP-REPORT-NSW-AUSTRALIA&s=5473079d3bd648549fadabc29ea0ee6f","parsing_failed"
