"","url","observation","date","id_code","count","max_at_once","notes"
"1","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","065 white-faced storm petrel - 3 (3)","26th-august-2017","065","3","3",NA
"2","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","088 black-browed albatross - 2 (1) adults","26th-august-2017","088","2","1","adults"
"3","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","859 campbell albatross - 2 (1) 1 adult & 1 immature (its eye colour confirmed by photos)","26th-august-2017","859","2","1",NA
"4","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","091 shy albatross - 5+ (1) at least 1 bird as tasmanian-breeding cauta","26th-august-2017","091","5+","1","1 bird as tasmanian-breeding cauta"
"5","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","931 bullers albatross - 1 (1)","26th-august-2017","931","1","1",NA
"6","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","075 grey-faced petrel - 1 (1) a brief fly-by","26th-august-2017","075","1","1","a brief fly-by"
"7","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","971 providence petrel - 5+ (2)","26th-august-2017","971","5+","2",NA
"8","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","069 wedge-tailed shearwater - 10 (3)","26th-august-2017","069","10","3",NA
"9","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","068 fluttering shearwater - 20+ (15)","26th-august-2017","068","20+","15",NA
"10","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","913 huttons shearwater - 2 (2)","26th-august-2017","913","2","2",NA
"11","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","104 australasian gannet - 10+ (3)","26th-august-2017","104","10+","3",NA
"12","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","096 great cormorant - 1 (1) just outside the harbour","26th-august-2017","096","1","1","just outside the harbour"
"13","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","125 silver gull - 100+ (80) mainly just outside the harbour","26th-august-2017","125","100+","80","mainly just outside the harbour"
"14","http://www.sossa-international.org/forum/content.php?835-saturday-26th-august-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","115 greater crested tern - 20 (15)","26th-august-2017","115","20","15",NA
"15","http://www.sossa-international.org/forum/content.php?834-saturday-22th-july-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","929        southern giant-petrel, macronectes giganteus - 2 (2)","22th-july-2017","929","2","2",NA
"16","http://www.sossa-international.org/forum/content.php?834-saturday-22th-july-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","937        northern giant-petrel, macronectes halli - 2 (2)","22th-july-2017","937","2","2",NA
"17","http://www.sossa-international.org/forum/content.php?834-saturday-22th-july-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","971        providence petrel, pterodroma solandri - 8 (3)","22th-july-2017","971","8","3",NA
"18","http://www.sossa-international.org/forum/content.php?834-saturday-22th-july-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","068        fluttering shearwater,  puffinus gavia - 100s (40+)","22th-july-2017","068","100","40",NA
"19","http://www.sossa-international.org/forum/content.php?834-saturday-22th-july-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","086        wandering albatross diomeadea exulans - 5+ (3)","22th-july-2017","086","5+","3",NA
"20","http://www.sossa-international.org/forum/content.php?834-saturday-22th-july-2017-sossa-pelagic-trip-kiama-nsw-australia.&s=5473079d3bd648549fadabc29ea0ee6f","088        black-browed albatross, thalassarche melanophrys - 100+ (24)","22th-july-2017","088","100+","24",NA
